URL,Title,H1 - 1,H1 - 2,H2 - 1,H2 - 10,H2 - 11,H2 - 12,H2 - 13,H2 - 14,H2 - 15,H2 - 16,H2 - 17,H2 - 18,H2 - 19,H2 - 2,H2 - 20,H2 - 21,H2 - 22,H2 - 23,H2 - 24,H2 - 25,H2 - 26,H2 - 27,H2 - 28,H2 - 29,H2 - 3,H2 - 30,H2 - 31,H2 - 32,H2 - 33,H2 - 34,H2 - 35,H2 - 36,H2 - 37,H2 - 4,H2 - 5,H2 - 6,H2 - 7,H2 - 8,H2 - 9,META Description
https://elevenaustralia.au,"
          ELEVEN Australia Hair and Body Care. Home of MIRACLE HAIR TREATMENT.
",HAIR & BODY CARE  made simple,,"


Item added to your cart",Olympic Gold Medallist Jakara Anthony discusses her haircare secrets and life on the slopes,WHY SHOP WITH Eleven Australia,Don’t miss a thing,Refresh my Hair FOR PROFESSIONAL ENQUIRES,"Your Cart 
          





",,,,,,NEW MIRACLE HAIR TREATMENT,,,,,,,,,,,NEW MIRACLE HAIR TREATMENT,,,,,,,,,INTRODUCING OUR NEW,KEEP MY COLOUR BLONDE toning spray,OUR FAVOURITE ROUTINES,Product Highlights,"PRODUCT HOW-TO's 
WITH JOEY SCANDIZZO",our blogView All ,"ELEVEN Australia is the simple approach to hair and body care. Shop our range of multi award winning hair care products from MIRACLE HAIR TREATMENT to HYDRATE, REPAIR, SMOOTH ME NOW ANTI FRIZZ, GENTLE and VOLUME ranges."
https://elevenaustralia.au/blogs/blog/far-north-warm-balmy-nights-and-expansive-beaches-tropical-bliss-join-us-on-a-journey-to-a-land-far-far-north,"
          Join us on a journey to a land far, far... FAR NORTH
 – ELEVEN Australia",,,"


Item added to your cart","
","
                ""I wanted the hair to almost look like it was a result of the environment we were in, nothing highly polished or too overdone. The beauty of where we were was how irregular the textures were, and I wanted that to come through in the hair. I used a lot of Miracle Hair Treatment, Sea Salt Texture Spray and Dry Finish Wax Spray to amplify natural movement and add definition’
              ","
","
",Get the look,More from ELEVEN Australia,"
          Olympic Gold Medallist and Ski Champion Jakara Anthony discusses her haircare Secrets and life on the slopes with ELEVEN Australia
        ","
          11 Of Our Favourite Products To Stock Up On This Cyber Weekend!
        ","
          ELEVEN Australia X Viscaya Wagner Holiday 2022
        ","Your Cart 
          





","
                JOIN US ON A JOURNEY... FAR NORTH
              ",,,,,,,,,,,,,,,,,,,,"
","
","
                “I want people to feel a sense of richness and nourishment. A sense of connection, re-connection, with elements that are grounding. Whether it's water, the mountains or leaves – the tangible things that we can touch that are living and breathing.”
              ","
","
","
","Warm, balmy nights and expansive beaches... tropical bliss. Recently, the ELEVEN Australia team ventured to the iconic far away land of Northern Australia to create our new campaign, FAR NORTH. Check out the products used such as our range of shampoos and conditioners for dry, damaged, frizzy and colour treated hair."
https://elevenaustralia.au/blogs/blog,"
          Blog
 – ELEVEN Australia",,,"


Item added to your cart","
          Volume is Back!
        ","
          The biggest cut, colour and style hair trends for 2022
        ","Your Cart 
          





",,,,,,,, Welcome to the ELEVEN Australia Blog,,,,,,,,,,,"
          Olympic Gold Medallist and Ski Champion Jakara Anthony discusses her haircare Secrets and life on the slopes with ELEVEN Australia
        ",,,,,,,,,"
          11 Of Our Favourite Products To Stock Up On This Cyber Weekend!
        ","
          ELEVEN Australia X Viscaya Wagner Holiday 2022
        ","
          Join us on a journey to a land far, far... FAR NORTH
        ","
          ELEVEN Australia X NEVENKA Limited Edition Designer Scarf
        ","
          Plant For Air Month. Cutting C02 levels, one plant at a time.
        ","
          All The Key Hair Trends To Come Out Of PayPal Melbourne Fashion Festival 2022
        ",
https://elevenaustralia.au/pages/limited-edition-miracle-hair-treatment-2023,"
          Limited Edition Miracle Hair Treatment 2023
 – ELEVEN Australia",,,"


Item added to your cart",,,,,,,,,,,The winners are...,,,,,,,,,,,"
",,,,,,,,,"
                FRANCESCO PATRINOSTRO
              ","
                ISABELLE GODDARD
              ","
                CHRISTOPH JOSEF
              ","Your Cart 
          





",,,"What do you get when you combine a cult favourite hair product with three artists from around the globe? ELEVEN Australia's hero product, MIRACLE HAIR TREATMENT, with three NEW limited-edition designs! ELEVEN Australia has a proud legacy of supporting and promoting emerging artists, and we're very excited to announce t"
https://elevenaustralia.au/pages/about-us-style-for-life,"
          ELEVEN Australia Hair and Body Care - Style For Life
",,,"


Item added to your cart","Your Cart 
          





",,,,,,,,,,Style for Life,,,,,,,,,,,,,,,,,,,,$0,$0K+,$0, Did you know?, ABOUT HAGAR,Want to be a part of the movement?,ELEVEN Australia Hair and Body Care - Style For Life initiative.
https://elevenaustralia.au/pages/gift-card-terms-conditions,"
          GIFT CARD TERMS OF USE
 – ELEVEN Australia","
    GIFT CARD TERMS OF USE
  ",,"


Item added to your cart",,,,,,,,,,,"Your Cart 
          





",,,,,,,,,,,,,,,,,,,,,,,,,,"  BACKGROUND These terms and conditions govern your purchase and use of ELEVEN Australia gift cards and eGift cards (together, gift cards). By purchasing or using a gift card, you indicate you have read, understood and accept these terms and conditions. If you have any questions about these terms and conditions, please"
https://elevenaustralia.au/products/gentle-clean-balancing-shampoo-500ml,"
          LIMITED EDITION 500ML GENTLE CLEAN BALANCING SHAMPOO
 – ELEVEN Australia", LIMITED EDITION 500ML GENTLE CLEAN BALANCING SHAMPOO,,"


Item added to your cart",,,,,,,,,,,Ideal for,,,,,,,,,,,How do i use it,,,,,,,,,STYLIST TIP,Hero Ingredients & Benefits ,Ingredients,Complete Your Routine,Customer Reviews,"Your Cart 
          





","ELEVEN Australia GENTLE CLEAN BALANCING SHAMPOO is a gentle, soap-free formula designed to pH balance and soothes the scalp and hydrate hair."
https://elevenaustralia.au/products/dry-finish-texture-spray,"
          DRY FINISH TEXTURE SPRAY 200ML
 – ELEVEN Australia",Dry FinishTexture Spray,,"


Item added to your cart",,,,,,,,,,,Ideal for,,,,,,,,,,,How do i use it,,,,,,,,,Stylist Tip,KEY BENEFITS  ,Ingredients,Complete Your Routine,Customer Reviews,"Your Cart 
          





","A flexible, weightless spray that creates lived in texture and lasting volume. Whether applied to the roots or worked through mid-lengths and ends, ELEVEN Australia Hair Dry Finish Texture Spray is the easiest way to create carefree effortless hair in seconds."
https://elevenaustralia.au/pages/i-want-volume,"
          I Want Volume
 – ELEVEN Australia",,,"


Item added to your cart",,,,,,,,,,,I WANT VOLUME,,,,,,,,,,,Miracle Hair treatment,,,,,,,,,"Your Cart 
          





",,,,,,
https://elevenaustralia.au/products/repair-my-hair-nourishing-shampoo-300ml,"
          REPAIR MY HAIR NOURISHING SHAMPOO 300ML
 – ELEVEN Australia",REPAIR MY HAIRNOURISHING SHAMPOO,,"


Item added to your cart",,,,,,,,,,,Ideal for,,,,,,,,,,,How do i use it,,,,,,,,,Stylist Tip,Hero Ingredients & Benefits ,Ingredients,Complete Your Routine,Customer Reviews,"Your Cart 
          





","REPAIR MY HAIR NOURISHING SHAMPOO is a specially formulated shampoo designed to repair and rebuild damaged hair. This shampoo works to repair bond structure of hair, improves volume by up to 32% and provides heat protection up to 220°C. Enriched with hydrolysed wheat protein to help strengthen and protect hair from fur"
